id,groupName,bigCateId,smlCateId,essParaName,type,bigCateLabel,bigCateLabel_japanese,smlCateLabel,smlCateLabel_japanese
,global,1,1,cvcond,radio,calc setting,計算設定,CV Tag,コンバージョンタグ
,global,1,2,usrseg,radio,calc setting,計算設定,User Segment,ユーザーセグメント
,global,1,3,filter,checkbox,calc setting,計算設定,filter,フィルタ条件
,cvpath,1,1,pathtpdef,radio,Filtering Options,パス構成フィルタ,Touch Point Definition,タッチポイント指定
,cvpath,1,2,pathfilter,radio,Filtering Options,パス構成フィルタ,Filtering Condition,フィルタ条件
,cvpath,1,3,touchpointgrouping,radio,Filtering Options,パス構成フィルタ,Touch Point Grouping,タッチポイントグルーピング
,cvpath,2,0,fileup,,Upload File,ファイルアップロード,,
